City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Hopelchen,MX,81.03,overcast clouds,19.7667,-89.85,Hotel Jaguar
374,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
375,Le Port,RE,71.6,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
376,Colomba,GT,74.97,overcast clouds,14.7167,-91.7333,Colomba costacica
380,Pemba,MZ,74.1,broken clouds,-12.974,40.5178,Guesthouse Samotina
381,Nguru,NG,86.27,clear sky,12.8791,10.4526,Government Lodge
382,Germantown,US,77.52,clear sky,39.1732,-77.2717,Fairfield Inn & Suites by Marriott Germantown Gaithersburg
384,Alyangula,AU,80.58,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
385,Ahipara,NZ,67.21,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
386,Jalu,LY,79.18,clear sky,29.0331,21.5482,صاحبة الفخامة
388,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
389,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
390,Siderno,IT,66.34,clear sky,38.2779,16.302,Grand Hotel President
391,Panaba,MX,79.0,broken clouds,21.2833,-88.2667,Hotel Don Fernando
392,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
394,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
395,Aksu,CN,68.27,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
400,Pontes E Lacerda,BR,77.99,broken clouds,-15.2261,-59.3353,Hotel Bressan
401,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
402,Sampit,ID,82.69,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
405,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
408,Changji,CN,68.79,clear sky,44.0167,87.3167,Lvye Holiday Resort
409,Akyab,MM,81.68,overcast clouds,20.15,92.9,Hotel Memory
410,Viransehir,TR,76.33,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
411,Damoh,IN,89.74,clear sky,23.8333,79.45,"Saansad Niwas, Damoh"
415,Bourail,NC,78.78,broken clouds,-21.5667,165.4833,Motel Allamanda
416,Grants,US,75.43,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
417,Ahmadpur Sial,PK,85.98,clear sky,30.6754,71.7483,Khan Mobile Shop
423,Heze,CN,80.98,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
425,Sola,VU,88.47,few clouds,-13.8833,167.55,Leumerus Bungalows
426,Atbasar,KZ,66.27,clear sky,51.8,68.3333,Гостиничный Комплекс Saad
430,Dwarka,IN,80.96,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
431,Umm Lajj,SA,81.21,clear sky,25.0213,37.2685,Moon light Furnished Units
434,Halifax,CA,66.09,clear sky,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
435,Guanaja,HN,81.95,broken clouds,16.4,-85.9,Parrot Beach
436,Xiamen,CN,86.05,few clouds,24.4798,118.0819,Xiamen Dongchen Hotel
438,Voi,KE,66.11,clear sky,-3.3945,38.563,Voi Wildlife Lodge
439,Tianpeng,CN,74.71,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
445,Odweyne,SO,73.96,overcast clouds,9.4092,45.064,Eng Hiirey House
453,Martinez,US,82.02,clear sky,38.0194,-122.1341,Best Western John Muir Inn
455,Lompoc,US,76.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
459,Nabire,ID,76.21,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
463,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
464,Sorong,ID,80.87,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
466,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
470,Sao Filipe,CV,75.34,clear sky,14.8961,-24.4956,Hotel Xaguate
471,Puerto Leguizamo,CO,71.8,broken clouds,-0.1934,-74.7819,la casona de juancho
474,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
478,Pasni,PK,80.6,clear sky,25.2631,63.471,Kashmiri Hotal
479,Izumo,JP,75.15,light rain,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
480,Vangaindrano,MG,66.16,overcast clouds,-23.35,47.6,Hotel Fanilo
481,Araripina,BR,69.51,overcast clouds,-7.5761,-40.4983,Hotel Eco Recanto da Serra
482,San Rafael Del Sur,NI,74.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
484,Jaumave,MX,79.61,overcast clouds,23.4167,-99.3833,HOTEL CIENEGA
485,Castelo Do Piaui,BR,75.81,scattered clouds,-5.3222,-41.5525,Nobre Hotel
488,Lapao,BR,68.05,clear sky,-11.3833,-41.8319,Pousada Toque De Classe
490,Arawa,PG,86.27,overcast clouds,-6.2132,155.5367,Coastline Guest House
492,Sao Gabriel Da Cachoeira,BR,72.93,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
493,Tanabe,JP,74.93,moderate rain,33.7333,135.3667,美吉屋旅館
496,Bemidji,US,70.56,overcast clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
497,Sabang,ID,82.62,overcast clouds,5.8933,95.3214,Hotel Citra
499,Balabac,PH,84.06,broken clouds,7.9868,117.0645,Batalla’s Lodging House
501,Ambilobe,MG,65.43,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
502,Danville,US,77.38,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
504,Wanning,CN,85.12,few clouds,18.8003,110.3967,Paradise Hotel
506,Muisne,EC,75.83,overcast clouds,0.6,-80.0333,Quinta Samay
509,Magadi,IN,71.76,overcast clouds,12.9667,77.2333,Gobi centre
514,Ingham,US,76.23,clear sky,42.6,-84.3833,Sunset Mobile Home Park
519,Mindelo,CV,72.95,few clouds,16.8901,-24.9804,Hotel Gaudi
522,Damietta,EG,73.29,clear sky,31.4165,31.8133,SULIMAN INN
523,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
524,Bartica,GY,77.32,scattered clouds,6.4,-58.6167,Sloth Island Nature Resort
526,Buchanan,LR,77.07,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
527,Celestun,MX,81.64,overcast clouds,20.8667,-90.4,Posada Lilia
530,Vanimo,PG,83.84,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
531,Brainerd,US,75.45,broken clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
533,Progreso,MX,85.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
534,Alta Floresta,BR,76.33,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
535,Tukrah,LY,67.66,clear sky,32.5341,20.5791,Lagrota restaurant
538,Kalmunai,LK,79.32,overcast clouds,7.4167,81.8167,VS Villa
539,Kota Belud,MY,84.76,few clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
540,Tulum,MX,75.56,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
541,Gambela,ET,69.84,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
542,Shenzhen,CN,85.21,overcast clouds,22.5455,114.0683,Grand Skylight
544,Ca Mau,VN,82.6,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
545,Tena,EC,69.91,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
548,Chabahar,IR,81.91,clear sky,25.2919,60.643,هتل گدروشیا
550,Honiara,SB,86.38,scattered clouds,-9.4333,159.95,Heritage Park Hotel
552,La Macarena,CO,71.24,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
559,Prado,BR,70.27,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
562,Sao Jose Da Coroa Grande,BR,76.39,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
563,Guaira,BR,67.33,few clouds,-20.3183,-48.3106,Hotel do Lago
564,Sterling,US,77.59,few clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
569,Kendari,ID,80.17,overcast clouds,-3.945,122.4989,Hotel Wixel
570,Nassau,US,70.83,clear sky,40.7507,-73.5829,Hilton Garden Inn Westbury
571,San Isidro,PE,65.01,scattered clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
572,Wanxian,CN,74.66,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
575,Puerto Maldonado,PE,73.83,scattered clouds,-12.6,-69.1833,Wasai Hotel
576,Cabangahan,PH,80.38,overcast clouds,9.0781,122.9469,Centralle District Beach Resort
578,Marsa Matruh,EG,79.0,clear sky,31.3525,27.2453,Beau Site
581,Contamana,PE,78.57,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
582,Berbera,SO,85.84,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
583,Kroya,ID,80.67,clear sky,-7.6331,109.2461,Devina kost & Homestay Kroya
585,Ubatuba,BR,71.33,broken clouds,-23.4339,-45.0711,Hotel Coquille
586,Quang Ngai,VN,84.36,broken clouds,15.1167,108.8,Central Hotel
589,Mogadishu,SO,79.48,clear sky,2.0371,45.3438,Hotel Juba
591,Jasper,US,84.25,few clouds,37.2001,-94.3502,Guest House Motel
593,Oussouye,SN,80.78,light rain,12.485,-16.5469,Auberge du Routard
594,Cap Malheureux,MU,75.51,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
595,Noumea,NC,82.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
596,Grand Gaube,MU,73.8,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
598,Saint Anthony,US,81.03,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
599,Chengde,CN,68.34,clear sky,40.9725,117.9361,Super 8 Hotel
607,Mount Vernon,US,73.04,few clouds,40.9126,-73.8371,Ramada by Wyndham Bronx
608,Bonthe,SL,79.38,light rain,7.5264,-12.505,Bonthe Holiday Village
609,Morondava,MG,70.16,clear sky,-20.2833,44.2833,La Case Bambou
610,Carauari,BR,72.73,clear sky,-4.8828,-66.8958,Hotel Fellip
612,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
614,Catuday,PH,82.96,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
615,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
616,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
618,Marsh Harbour,BS,78.1,light rain,26.5412,-77.0636,Abaco Beach Resort
620,Isiro,CD,66.34,overcast clouds,2.7739,27.616,Guest House Hewa Bora
621,Howard Springs,AU,86.88,overcast clouds,-12.497,131.047,buffalo beach hostel
622,Safaga,EG,82.22,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
624,Innoshima,JP,67.77,overcast clouds,34.2833,133.1833,Doi Ryokan
627,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
629,Axim,GH,77.38,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
630,Shangrao,CN,76.32,heavy intensity rain,28.4532,117.9686,Boyue boutique Hotel
631,Lazaro Cardenas,MX,81.64,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
633,Kefar Shemaryahu,IL,71.58,clear sky,32.1856,34.8219,Dan Accadia Herzliya Hotel
636,Rosarito,MX,70.72,scattered clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
639,Charters Towers,AU,76.05,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
642,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Novotel Dakar
643,Tecoanapa,MX,80.76,overcast clouds,16.5167,-98.75,Hotel Manglares
648,Ratnagiri,IN,81.88,clear sky,16.9833,73.3,Hotel Landmark
649,Dali,CN,68.65,clear sky,25.7,100.1833,Dali Travelling With Hostel
653,Kawalu,ID,77.59,clear sky,-7.3817,108.2082,West Jontor
656,Bolgatanga,GH,81.46,overcast clouds,10.7856,-0.8514,Mama's Place
658,Takayama,JP,79.66,few clouds,36.1333,137.25,Country Hotel Takayama
662,Eydhafushi,MV,82.27,overcast clouds,5.1033,73.0708,Soneva Fushi
667,Kudahuvadhoo,MV,82.17,heavy intensity rain,2.6708,72.8944,Niyama Private Islands Maldives
672,Nova Olimpia,BR,80.31,overcast clouds,-14.7972,-57.2881,Motel glamour
673,Cairns,AU,81.1,few clouds,-16.9167,145.7667,Mantra Trilogy Cairns
674,Susangerd,IR,84.94,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
675,Nova Olinda Do Norte,BR,73.69,light rain,-3.8881,-59.0942,Casa Juazeiro
679,Finschhafen,PG,84.16,moderate rain,-6.6024,147.8681,Cossam Guest House
680,Kot Kapura,IN,86.54,clear sky,30.5833,74.9,Dr. Darshan Lal
681,Tabatinga,BR,77.09,clear sky,-4.2525,-69.9381,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
682,Sambava,MG,71.35,scattered clouds,-14.2667,50.1667,Melrose
688,Salinas,US,76.78,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
690,Tezu,IN,81.63,clear sky,27.9167,96.1667,Circuit House
691,Lat Yao,TH,83.14,broken clouds,15.751,99.7893,โรงแรมสอระ
692,Sumbe,AO,70.79,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
694,Samarai,PG,81.14,scattered clouds,-10.6167,150.6667,Nuli Sapi
695,Sulphur Springs,US,87.75,clear sky,33.1385,-95.6011,Clarion Pointe Sulphur Springs
696,Roma,US,73.54,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
697,Bundaberg,AU,70.21,overcast clouds,-24.85,152.35,Takalvan Motel
698,Ugoofaaru,MV,82.51,light rain,5.6667,73.0,Ungoofaaru Inn
700,Mitha Tiwana,PK,85.01,scattered clouds,32.2486,72.1108,Canal Rest House
702,Kupang,ID,84.02,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
703,Alexandria,EG,73.36,clear sky,31.2156,29.9553,Royal Crown Hotel
705,Shirgaon,IN,83.26,few clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
707,Bonoua,CI,76.87,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
709,Namibe,AO,65.84,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
710,Devils Lake,US,78.78,few clouds,48.1128,-98.8651,"Holiday Inn Express Devils Lake, an IHG Hotel"
714,Colares,PT,65.28,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
716,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
717,Erzin,TR,74.01,clear sky,36.9559,36.2,Artemis Otel
718,Bushehr,IR,71.69,clear sky,28.9684,50.8385,Yas Hotel
